vassalize_france_title;Vassalise France   ;Vassaliser la France   ;vasallisiert Frankreich;;Avasallar a Francia ;;;;;;;;;x;
vassalize_france_desc;The majesty of our kingdom requires that our Brother the king of France recognises our superior status   ;Notre majesté demande à ce que notre frère, le roi de France, reconnaisse notre supériorité.   ;Seine Majestät unseres Königreiches verlangt, das unser Bruder, der König von Frankreich, unseren höheren Status anerkennt.;;La grandeza de nuestro reino exige que nuestro hermano, el rey de Francia, reconozca nuestro estatus superior. ;;;;;;;;;x;
recover_greece_title;Recover Greece   ;Récupérer la Grèce   ;Erobert Griechenland zurück;;Recuperar Grecia ;;;;;;;;;x;
recover_greece_desc;The Empire is but a shadow of itself after repeated blows from the Turk. For us to rise, phoenix like, from the ashes we must recover the Greek lands.   ;L'empire n'est plus que l'ombre de lui-même après les coups répétés des Turcs. Pour renaître de nos cendres, tel le phénix, il nous faut récupérer les terres grecques.   ;Das Reich ist ein Schatten seiner selbst nach wiederholten Schlägen der Türken. Um uns wieder zu erheben wie der Phoenix aus der Asche müssen wir die griechischen Lande zurückerlangen.;;Tras las repetidas acometidas de los turcos, el reino apenas es una sombra de sí mismo. Para alzarnos de las cenizas, cual ave fénix, tenemos que recuperar el territorio griego. ;;;;;;;;;x;
recover_the_coast_of_asia_minor_title;Recover the Asia Minor Coast   ;Récupérer la côte d'Asie mineure   ;Erobert die Küste Kleinasiens zurück;;Recuperar la costa del Asia Menor ;;;;;;;;;x;
recover_the_coast_of_asia_minor_desc;As long as the lands of Asia Minor are held by the enemy we will never be secure. By seizing the coastal provinces we will have the buffer we need. ;Tant que les terres d'Asie mineure seront aux mains de l'ennemi, nous ne serons pas en sécurité. En prenant le contrôle des provinces côtières, nous disposerons de la zone tampon dont nous avons besoin. ;Solange die Länder von Kleinasien vom Feind gehalten werden, werden wir nie sicher sein. Durch die Eroberung der Küstenprovinzen hätten wir den Buffer, den wir brauchen.;;Mientras los territorios del Asia Menor estén en manos del enemigo, nunca estaremos seguros. Si tomamos las provincias costeras, conseguiremos la holgura que necesitamos. ;;;;;;;;;x;
recover_the_balkans_title;Conquer The Eastern Balkans;Conquérir les Balkans orientaux;Erobert den östlichen Balkan;;Conquistar los Balcanes orientales;;;;;;;;;x;
recover_the_balkans_desc;To protect the second Rome from we must expand our lands in the Eastern Balkans.   ;Pour protéger la seconde Rome, il nous faut gagner du terrain dans les Balkans orientaux.   ;Um das zweite Rom zu beschützen müssen wir unsere Ländereien am östlichen Balkan vergrößern.;;Para proteger a la segunda Roma, tenemos que expandir nuestro territorio en los Balcanes orientales. ;;;;;;;;;x;
convert_asia_minor_title;Convert the People of Asia minor ;Convertir le peuple d'Asie mineure ;Konvertiert die Menschen Kleinasiens;;Convertir al pueblo de Asia Menor ;;;;;;;;;x;
convert_asia_minor_desc;The Peoples have Asia Minor have sadly adopted the faith of their conquers. Now that they have been liberated we must return them to the holy orthodox faith ;Le peuple d'Asie mineure a tristement adopté la foi de ses conquérants. Maintenant qu'il a été libéré, il nous faut y rétablir la foi orthodoxe. ;Die Menschen in Kleinasien haben unglücklicherweise den Glauben ihrer Eroberer angenommen. Nun da sie befreit wurden, müssen wir sie zum orthodoxen Glauben zurückführen.;;Los pueblos de Asia Menor han adoptado, lamentablemente, la fe de sus conquistadores. Ahora que han sido liberados, debemos devolverlos a la santa doctrina ortodoxa. ;;;;;;;;;x;
recover_south_italy_title;Secure Southern Italy ;Sécuriser le sud de l'Italie ;Sichert Süditalien;;Asegurar la Italia meridional ;;;;;;;;;x;
recover_south_italy_desc;Ever Since the Franks cowardly sacked the city of Constantine we know that they are a danger. We must secure our western flank by taking control of Southern Italy so it does not happen again.  ;Depuis que les Francs ont lâchement mis à sac la ville de Constantine, nous savons qu'ils constituent un danger. Nous devons sécuriser notre flanc occidental en prenant le contrôle du sud de l'Italie de manière à ce que cela ne se reproduise pas. ;Immer seit die Franken so feige die Stadt Konstantins geplündert haben wissen wir, das sie eine Gefahr darstellen. Wir müssen unsere westliche Flanke sichern, indem wir die Kontrolle über Süditalien übernehmen, damit dies nicht noch einmal geschieht.;;Desde que los francos saquearon cobardemente la ciudad de Constantino, sabemos que constituyen un peligro. Tenemos que asegurar nuestro flanco occidental tomando el control de la Italia meridional, para que aquello no vuelva a suceder. ;;;;;;;;;x;
HAVE_LESS_TOTAL_PORTS_THAN;Have less total ports than ;Ont moins de ports que ;Hat weniger Häfen als;;Con menos puertos en total que ;;;;;;;;;x;
HAVE_MORE_TOTAL_PORTS_THAN;Have more total ports than ;Ont plus de ports que ;Hat mehr Häfen als;;Con más puertos en total que ;;;;;;;;;x;
PROV1774;Treviso;Trévise;Treviso;;Treviso;;;;;;;;;x;
ARMIES_IN;Armies in;Armées en;Armeen in;;Ejércitos en;;;;;;;;;x;
ANY_ELECTOR_STARTS;Any HRE Elector;Tout électeur du Saint Empire romain;Jeder Kurfürst;;Cualquier elector del SIR;;;;;;;;;x;
THE_CAPITAL_IS;The capital is ;La capitale est ;Die Hauptstadt ist;;La capital es ;;;;;;;;;x;
THE_CAPITAL_IS_NOT;The capital is not ;La capitale n'est pas ;Die Hauptstadt ist nicht;;La capital no es ;;;;;;;;;x;
restore_byzantine_empire_title;Restore the Byzantine Empire;Restaurer l'Empire byzantin;Stellt das Byzantinische Reich wieder her;;Restablecer el Imperio Bizantino;;;;;;;;;x;
restore_byzantine_empire_desc;The glorious Byzantine Empire is gone, but as long as there are Greeks in Constantinople, there is hope of resurrection. We can take its place in spirit, but we can not take its name unless we prove worthy...;Le glorieux Empire bizantin n'est plus, mais tant qu'il y aura des Grecs à Contantinople, l'espoir d'un renouveau sera présent. Nous pouvons le remplacer dans l'esprit, mais nous ne pouvons pas prendre son nom sans nous en montrer dignes.;Das glorreiche Byzantinische Reich ist verschwunden, aber solang es noch Griechen in Konstantinopel gibt, gibt es Hoffnung auf Wiederauferstehung. Wir können den Mantel übernehmen, aber um den Namen tragen zu können, müssen wir uns würdig erweisen.;;El glorioso Imperio Bizantino ha desaparecido pero, mientras queden griegos en Constantinopla, hay esperanza de resurrección. Podemos ocupar su lugar en espíritu, pero no podemos adoptar su nombre a menos que seamos dignos...;;;;;;;;;x;
annex_orleans_title;Annex Orleans;Annexer Orléans;Annektiert Orleans;;Anexionarse Orleans;;;;;;;;;x;
annex_orleans_desc;The Duke of Orleans has been pursuing a semi-independent policy for too long. This close to Paris, we should take care, and integrate his realms into the core of France.;Voilà trop longtemps que le duc d'Orléans mène une politique de semi-indépendance. Si près de Paris, il nous faut nous en méfier, et intégrer ses terres à celles de la France.;Die Herzöge von Orleans haben schon zu lange eine halb-eigenständige Politik verfolgt. So nahe an Paris gelegen, sollten wir Vorsicht walten lassen, und sie in unser Reich eingliedern.;;El Duque de Orleans lleva demasiado tiempo tras una política de semiindependencia. Esto encorseta a París. Deberíamos tener cuidado e integrar sus reinos en el núcleo de Francia.;;;;;;;;;x;
annex_provence_title;Annex Provence;Annexer la Provence;Annektiert die Provence;;Anexionarse Provenza;;;;;;;;;x;
annex_provence_desc;The Duke of Provence has been pursuing a semi-independent policy for too long. It is time to rein him in. ;Voilà trop longtemps que le duc de Provence mène une politique de semi-indépendance. L'heure a sonné de lui serrer la bride. ;Die Herzöge von Provence haben schon zu lange eine halb-eigenständige Politik verfolgt. Es ist Zeit, sie in die Schranken zu weisen.;;El Duque de Provenza lleva demasiado tiempo tras una política de semiindependencia. Es hora de ponerle freno. ;;;;;;;;;x;
annex_auvergne_title;Annex Auvergne;Annexer l'Auvergne;Annektiert Auvergne;;Anexionarse Auvernia;;;;;;;;;x;
annex_auvergne_desc;The duchy of Auvergne sits strategically in the centre of France. We need to incorporate it fully into the French realm.;Le duché d'Auvergne occupe une situation stratégique au cœur de la France. Il nous faut l'intégrer entièrement au royaume français.;Die Herzogtum von Auvergne liegt strategisch im Zentrum Frankreichs. Wir müssen es voll in das Französische Reich einbinden.;;El ducado de Auvernia se encuentra estratégicamente ubicado en el centro de Francia. Tenemos que incorporarlo por completo al reino francés.;;;;;;;;;x;
annex_bourbonnais_title;Annex Bourbonnais;Annexer le Bourbonnais;Annektiert Bourbonnais;;Anexionarse Bourbonnais;;;;;;;;;x;
annex_bourbonnais_desc;The duchy of Bourbonnais sits strategically in the centre of France. We need to incorporate it fully into the French realm.;Le duché du Bourbonnais occupe une situation stratégique au cœur de la France. Il nous faut l'intégrer entièrement au royaume français.;Die Herzogtum Bourbonnais liegt strategisch im Zentrum Frankreichs. Wir müssen es voll in das Französische Reich einbinden.;;El ducado de Bourbonnais se encuentra estratégicamente ubicado en el centro de Francia. Tenemos que incorporarlo por completo al reino francés.;;;;;;;;;x;
subjugate_brittany_title;Return Brittany to its proper allegiance;Ramener la Bretagne à son allégeance;Bringt die Bretagne zu ihrer richtigen Untergebenheit zurück;;Restablecer la debida lealtad de Bretaña;;;;;;;;;x;
subjugate_brittany_desc;The Duchy of Brittany is not recognising their proper relationship with the French Crown. We should persuade them to return to the fold. ;Le duché de Bretagne ne reconnaît plus sa légitime relation avec la couronne française. Nous devons le persuader de rentrer au bercail. ;Das Herzogtum der Bretagne erkennt ihre wahre Beziehung zur französischen Krone nicht an. Wir sollten sie überzeugen, ins Reich zurückzukehren.;;El Ducado de Bretaña no reconoce su debida relación con la corona francesa. Deberíamos persuadirlos para que vuelvan al redil. ;;;;;;;;;x;
annex_savoy_title;Incorporate Savoy into the Kingdom;Intégrer la Savoie au royaume;Inkorporiert Savoyen in das Königreich;;Incorporar Saboya al reino;;;;;;;;;x;
annex_savoy_desc;The Duchy of Savoy defends the Italian invasion route into France. To ensure this invasion route is properly protected we must incorporate Savoy into France. ;Le duché de Savoie veille à ce que les Italiens n'envahissent pas la France. Pour l'y aider, nous devons l'intégrer à la France. ;Das Herzogtum von Savoyen verteidigt die italienische Invasionsroute nach Frankreich. Um sicherzugehen das diese Invasionsroute richtig geschützt ist müssen wir Savoyen ins Französische Reich einbinden.;;El Ducado de Saboya defiende la ruta de invasión italiana en Francia. Para asegurarnos de que esta ruta de invasión esté debidamente protegida, debemos incorporar Saboya a Francia. ;;;;;;;;;x;
louvre_expansion_title;Reconstruction of the Louvre ;Reconstruction du Louvre ;Rekonstruktion des Louvre;;Reconstrucción del Louvre ;;;;;;;;;x;
louvre_expansion_desc;The fortress of the Louvre is not longer necessary to defend Paris. To enhance our Glory we should turn it into the Grande Galerie  ;La forteresse du Louvre n'est plus nécessaire à la défense de Paris. Pour renforcer notre gloire, nous devrions la transformer en Grande Galerie  ;Die Festung des Louvre ist nicht länger nötig, um Paris zu verteidigen. Um unsere Ehre zu erweitern, sollten wir es in eine große Galerie umwandeln.;;La fortaleza del Louvre ya no es necesaria para defender París. Para mayor gloria nuestra, deberíamos convertirla en un gran museo. ;;;;;;;;;x;
annex_alsace_title;Annex Alsace;Annexer l'Alsace;Annektiert Elsass;;Anexionarse Alsacia;;;;;;;;x;;
annex_alsace_desc;The Fortress of Strasburg defends one of the major crossing points on the upper Rhine. To help defend France we must push forward our frontier to the Rhine and ensure that we, and no other, controls that fortress.  ;La forteresse de Strasbourg défend l'un des principaux carrefours du Rhin. Pour participer à la défense de la France, nous devons repousser notre frontière vers le Rhin et veiller à ce qu'aucun autre ne prenne le contrôle de cette forteresse. ;Die Festung von Strassburg verteidigt eine der größten Überquerungspunkte des oberen Rheins. Um zu helfen, Frankreich zu verteidigen, müssen wir unsere Grenze an den Rhein ausdehnen und sicherstellen das wir, und niemand anders, die Festung kontrollieren.;;La fortaleza de Estrasburgo defiende uno de los principales puntos de cruce del alto Rin. Para ayudar a defender Francia, tenemos que dilatar la frontera hacia el Rin y asegurarnos de que somos nosotros, y no ningún otro, quien controla esa fortaleza. ;;;;;;;;;x;
france_discovers_north_america_title;Discover North America ;Découvrir l'Amérique du Nord ;Entdeckt Nordamerika;;Descubrir Norteamérica ;;;;;;;;;x;
france_discovers_north_america_desc;Our Navigators are beseeching the crown to underwrite a mission to explore the seas to the West of us. They have heard rumours of rich lands to the north West that they wish to claim for the glory of France. ;Nos navigateurs implorent la couronne de soutenir une mission d'exploration des mers occidentales. Ils ont eu vent de riches terres situées au nord-ouest et entendent les revendiquer pour la gloire de la Franche. ;Unsere Navigatoren bitten bei der Krone um Unterstützung für eine Expedition, um die Meere westlich von uns zu erforschen. Sie haben Gerüchte von reichen Ländern im Nordwesten gehört und wollen diese für die Ehre Frankreichs in Besitz nehmen.;;Nuestros navegantes suplican a la Corona que secunde una misión para explorar los mares occidentales. Han oído rumores de ricas tierra hacia el noroeste y quisieran reclamarlas para mayor gloria de Francia. ;;;;;;;;;x;
french_colony_in_north_america_title;Establish bases in North America ;Établir des bases en Amérique du Nord ;Etabliert Basen in Nordamerika;;Establecer bases en Norteamérica ;;;;;;;;;x;
french_colony_in_north_america_desc;The Compagnie des Marchands are asking for financial support to help establish bases in North America. They say the honour of France demands it. ;La Compagnie des Marchands sollicite un soutien financier pour faciliter l'établissement de bases en Amérique du Nord. Selon elle, il en va de l'honneur de la France. ;Die Compagnie des Marchands bitten um finanzielle Unterstützung, um Stützpunkte in Nordamerika einzurichten. Sie meinen, die Ehre Frankreichs verlangt es.;;La Compagnie des Marchands solicita apoyo financiero para ayudar en el establecimiento de bases en Norteamérica. Dicen que el honor de Francia lo exige. ;;;;;;;;;x;
france_discovers_the_carribean_title;Discover the Caribbean;Découvrir les Caraïbes;Entdeckt die Karibik;;Descubrir el Caribe;;;;;;;;;x;
france_discovers_the_carribean_desc;The glory of France demands that we are the greatest nation in Christendom. Our explorers are seeking royal patronage to go voyages of discover in the West.  ;La gloire de la France exige que nous soyons la plus grande nation de la chrétienté. Nos explorateurs sont en quête de mécènes royaux pour partir à la découverte de l'ouest. ;Die Ehre Frankreichs verlangt, das wir die größte Nation des Christentums sind. Unsere Entdecker suchen nach königlicher Patronanz um auf Entdeckungsreise nach westen zu gehen.;;La gloria de Francia exige que seamos la mayor nación de la Cristiandad. Nuestros exploradores buscan el patrocinio real para viajar en pos de descubrimiento del Oeste. ;;;;;;;;;x;
french_colony_in_the_carribean_title;Establish bases in the Caribbean;Établir des bases dans les Caraïbes;Etabliert Basen in der Karibik;;Establecer bases en el Caribe;;;;;;;;;x;
french_colony_in_the_carribean_desc;The Compagnie des Îles de l'Amérique is asking for financial support in their quest to establish trading bases in the islands in the Caribbean. Can France refuse such a request? ;La Compagnie des Îles de l'Amérique sollicite un soutien financier pour faciliter l'établissement de bases sur les îles des Caraïbes. La France peut-être refuser une telle requête ? ;Die Compagnie des Íles de L'Amèrique bittet um finanzielle Unterstützung in ihrem Streben, Handelsbasen auf den Inseln der Karibik zu errichten. Kann Frankreich so ein Ersuchen Ablehnen?;;La Compagnie des Îles de l'Amérique solicita apoyo financiero en su misión de establecer bases comerciales en las islas del Caribe. ¿Puede Francia rechazar una solicitud semejante? ;;;;;;;;;x;
defend_france_against_england_title;England must be driven from France ;L'Angleterre doit être chassée par la France ;England muss aus Frankreich vertrieben werden;;Inglaterra debe ser expulsada de Francia ;;;;;;;;;x;
defend_france_against_england_desc; For too long the fair lands of France have been polluted by the presence of Le Rostbeefs. The honour of France demands that our soil should be free; Voilà trop longtemps que les terres françaises sont polluées par la présence des Anglais. L'honneur de la France exige que notre sol soit libre;Zu Lange schon wurden die Länder Frankreichs von den Le Rostbeefs vergiftet. Die Ehre Frankreichs verlangt ihre Vertreibung!;; Las hermosas tierras de Francia llevan demasiado tiempo contaminadas por la presencia de Le Rostbeefs. El honor de Francia exige que nuestro suelo sea liberado.;;;;;;;;;x;
recover_calais_title;Recover Calais ;Récupérer Calais ;Erobert Calais zurück;;Recuperar Calais ;;;;;;;;;x;
recover_calais_desc;The treacherous King Edward III of England took Calais to act as a base to attack France. We must stop this happening, give France the Pays Reconquis.;Le traître roi d'Angleterre, Edouard III, a pris le contrôle de Calais qu'il entend utiliser comme base pour attaquer la France. Nous devons veiller à ce que cela n'arrive pas et redonner à la France ce qui lui revient de droit.;Der hinterhältige König Edward III von England hat Calais genommen, um als Basis für einen Angriff auf Frankreich zu dienen. Wir müssen das Stoppen, gebt Frankreich den Pays Reconquis.;;El traicionero rey Eduardo III de Inglaterra tomó Calais para que sirviera como base para atacar Francia. Tenemos que acabar con esto y devolverle a Francia el país reconquistado.;;;;;;;;;x;
recover_aquitaine_title;Recover Aquitaine ;Récupérer l'Aquitaine ;Erobert Aquitanien zurück;;Recuperar Aquitania ;;;;;;;;;x;
recover_aquitaine_desc;Our long war with England has allowed the king of England to establish himself in Aquitaine, independent of France. We must recover these territories that have been sundered from France. ;Notre longue guerre contre l'Angleterre a permis au roi anglais de s'établir en Aquitaine en toute indépendance. Nous devons récupérer ces territoires qui ont été séparés de la France. ;Unser langer Krieg mit England hat es dem König von England erlaubt sich in Aquitanien zu etablieren, unabhängig von Frankreich. Wir müssen diese Gebiete wieder zurückerobern die von Frankreich geraubt wurden.;;La larga guerra con Inglaterra ha permitido al rey inglés establecerse en Aquitania, independiente de Francia. Tenemos que recuperar estos territorios escindidos de Francia. ;;;;;;;;;x;
conquer_milan_title;Conquer Milan;Conquérir Milan;Erobert Milan;;Conquistar Milán;;;;;;;;;x;
conquer_milan_desc;To ensure our position in Northern Italy is protected we must expand our holdings to include Milan. ;Pour asseoir notre position en Italie du nord, nous devons étendre notre emprise à Milan. ;Um unsere Position in Norditalien zu festigen, müssen wir unsere Besitzungen um Milan erweitern.;;Para asegurar que nuestra posición en el norte de Italia está protegida tenemos que extender nuestros territorios hasta incluir Milán. ;;;;;;;;;x;
annex_genoa_title;Annex Genoa;Annexer Gênes;Annektiert Genua;;Anexionarse Génova;;;;;;;;;x;
annex_genoa_desc;The port of Genoa and its hinterlands sit to close to the French Mediterranean shore, we should incorporate these into our Kingdom to protect our Mediterranean coast. ;Le port de Gênes et son arrière-pays se trouvent à proximité du rivage méditerranéen français et nous devrions les intégrer à notre royaume pour protéger le littoral de la Méditerrannée. ;Der Hafen von Genua und die dahinter liegenden Gebiete sind nahe an der französischen Mittelmeerküste. Wir sollten sie in unser Reich aufnehmen, um diese zu schützen.;;El puerto de Génova y sus tierras interiores están demasiado cerca de la orilla mediterránea francesa. Deberíamos incorporarlos al reino para proteger nuestra costa mediterránea. ;;;;;;;;;x;
establish_national_guard_title;Establish the National Guard    ;Établir la Garde nationale    ;Etabliert die Nationale Garde;;Organizar la Garde Nationale ;;;;;;;;;x;
establish_national_guard_desc;We are growing increased concerned about the threat of civil disorder in the area around Paris. We should establish la Garde nationale so that troops can be quickly organised to suppress any disorder.  ;Nous sommes de plus en plus inquiets par la menace croissance de troubles civiles autour de Paris. Nous devrions établir la Garde nationale pour permettre aux troupes de rapidement s'organiser afin de mater tout trouble. ;Wir werden immer besorgter ob der Gefahr von Unruhen in der Region um Paris. Wir sollten die La Garde nationale einrichten, sodass Truppen schnell für die Aufrechterhaltung der Ordnung mobilisiert werden können.;;Crece nuestra preocupación por la amenaza de desórdenes civiles en la periferia de París. Deberíamos montar la Garde Nationale, así las tropas podrían organizarse rápidamente para sofocar cualquier desorden. ;;;;;;;;;x;
france_the_united_states_relations_title;Improve Relations with the USA ;Améliorer les relations avec les États-Unis ;Verbessert die Beziehungen zu den USA;;Mejorar las relaciones con los Estados Unidos ;;;;;;;;;x;
france_the_united_states_relations_desc;The young republic of the United States is the perfect ally France is looking for the Western Hemisphere. Let’s improve relations with them.;La jeune république des États-Unis est l'allié parfait que cherche la France dans l'hémisphère Ouest. Améliorons nos relations avec elle.;Die junge Republik der Vereinigten Staaten ist der perfekte Verbündete in der westlichen Hemisphäre, den Frankreich sucht. Lasst uns die Beziehungen zu ihnen verbessern.;;La joven república de los Estados Unidos es perfecta para lo que Francia pretende en el hemisferio occidental. Mejoremos las relaciones con ellos.;;;;;;;;;x;
subjugate_lorraine_title;Subjugate the Duchy of Lorraine ;Soumettre le duché de Lorraine ;Unterwerft das Herzogtum Lothringen;;Sojuzgar el Ducado de Lorena ;;;;;;;;;x;
subjugate_lorraine_desc;The Duchy of Lorraine is strategically placed on the frontier between the Empire and France. In case there is future conflict between France and the Empire we would be wise to make the dukes see France as their master.    ;Le duché de Lorraine bénéficie d'une position stratégique à la frontière entre l'Empire et la France. En cas de futur conflit entre la France et l'Empire, il serait sage de soumettre les ducs.    ;Das Herzogtum Lothringen liegt strategisch günstig an der Grenze zwischen Frankreich und dem Reich. Im Falle eines Konfliktes zwischen Frankreich und dem Reich wäre es ratsam, sich zu versichern, das der Herzog von Lothringen Frankreich als seinen Herrn ansieht.;;El Ducado de Lorena está estratégicamente situado en la frontera entre el Imperio y Francia. En caso de un futuro conflicto entre Francia y el Imperio, deberíamos ser lo bastante listos como para hacer que los duques vean a Francia como su señor. ;;;;;;;;;x;
annex_lorraine_title;Annex Lorraine  ;Annexer la Lorraine  ;Annektiert Lothringen;;Anexionarse Lorena ;;;;;;;;;x;
annex_lorraine_desc;The Duchy of Lorraine is simply too strategically important to allow the Dukes any leeway in their policy. France must have full control over the Duchy. ;Le duché de Lorraine est bien trop important, en termes stratégique, pour permettre aux ducs toute dérive de politique. La France doit pleinement contrôler le duché. ;Das Herzogtum Lothringen ist einfach strategisch zu wichtig, um es dem Herzog zu erlauben, eine abweichende Politik zu verfolgen. Frankreich muss die volle Kontrolle darüber haben.;;El Ducado de Lorena es, hablando claro, demasiado importante estratégicamente como para permitirles a los duques cualquier libertad de maniobra política. Francia debe tener el control absoluto del ducado. ;;;;;;;;;x;
defend_the_netherlands_title;The Natural Frontier   ;La frontière naturelle   ;Die natürliche Grenze;;La frontera natural ;;;;;;;;;x;
defend_the_netherlands_desc;The Spanish control of the Netherlands remains a strategic threat to France. We must push our frontier to its natural position on the Rhine to ensure France is defended properly.  ;Le contrôle espagnol des Pays-Bas demeure une menace stratégique pour la France. Nous devons repousser notre frontière jusqu'à sa frontière naturelle sur le Rhin pour veiller à ce que la France soit correctement défendue. ;Die spanische Kontrolle der Niederlande bleibt eine strategische Gefahr für Frankreich. Wir müssen unsere Grenzen an die natürliche Position am Rhein ausdehnen um sicherzustellen, das Frankreich gut geschützt ist.;;El control español de los Países Bajos sigue siendo una amenaza estratégica para Francia. Para asegurarnos de que Francia esté defendida de forma adecuada, tenemos que desplazar nuestra frontera hasta su posición natural en el Rin. ;;;;;;;;;x;
anglo_portuguese_relations_title;Portuguese English relations ;Relations anglo-portugaises ;Portugiesisch-Englische Beziehungen;;Relaciones angloportuguesas ;;;;;;;;;x;
anglo_portuguese_relations_desc;Good relations with England have been at the heart of Portuguese policy since 1373. It would be wise to strengthen these ties.    ;Depuis 1373, les bonnes relations avec l'Angleterre sont au cœur de la politique portugaise. Il serait bon de resserrer ces liens.    ;Gute Beziehungen mit England waren seit 1373 ein zentraler Punkt der Portugiesischen Politik. Es wäre ratsame, diese Beziehungen zu stärken.;;Desde 1373, las buenas relaciones con Inglaterra han estado en el centro de la política portuguesa. Sería sensato reforzar dichos lazos. ;;;;;;;;;x;
monopolize_portuguese_cot_title;Monopolise Trade;Monopoliser le commerce;Monopolisiert den Handel;;Monopolizar el comercio;;;;;;;;;x;
monopolize_portuguese_cot_desc;Our Merchants feel that too much of Portugal’s trading wealth is going overseas. They are asking for Government support to ensure that trade is monopolised by Portuguese merchants    ;Nos marchands estiment que les richesses commerciales portugaises partent trop massivement outre-mer. Ils en appellent au soutien du gouvernement pour veiller à ce que le commerce soit monopolisé par les marchands portugais.    ;Unsere Händler finden das zu viel unseres Handelsreichtums nach Übersee fließen. Sie bitten um Regierungsunterstützung um sicherzustellen, das der Handel von portugiesischen Händlern monopolisiert wird.;;Nuestros comerciantes consideran que demasiada riqueza comercial de Portugal se va allende los mares. Solicitan el apoyo del gobierno para asegurarse de que el comercio sea monopolizado por los comerciantes portugueses.;;;;;;;;;x;
castilian_portuguese_relations_title;Castilian Relations ;Relations castillanes ;Kastillianische Beziehungen;;Relaciones con Castilla;;;;;;;;;x;
castilian_portuguese_relations_desc;Our relationship with our neighbour Castile has always been important to us. We feel now is the time for fresh efforts to strengthen ties between ourselves and Castile.     ;Nos relations avec notre voisin castillan ont toujours revêtu une grande importance. Nous pensons que l'heure a sonné de resserrer les liens qui nous unissent à la Castille.     ;Unsere Beziehungen mit dem Nachbar Kastilien war uns immer wichtig. Jetzt scheint der richtige Zeitpunkt zu sein, neue Anstrengungen zu unternehmen, diese Beziehungen zu vertiefen.;;Nuestra relación con la vecina Castilla siempre han sido importantes para nosotros. Consideramos que ya es hora de renovados esfuerzos para reforzar los lazos entre nosotros y Castilla. ;;;;;;;;;x;
spanish_portuguese_relations_title;The Spanish Question  ;La question espagnole  ;Die Spanische Frage;;La cuestión española ;;;;;;;;;x;
spanish_portuguese_relations_desc;The formation of Spain has radically changed the balance of power in the Iberian peninsular. For Portugal to prosper we should ensure that we are good terms with our large neighbour.      ;La formation de l'Espagne a radicalement modifié l'équilibre du pouvoir de la péninsule ibérique. Pour permettre au Portugal de prospérer, nous devons veiller à être en bons termes avec notre grand voisin.      ;Die Formierung von Spanien hat das Mächtegleichgewicht auf der iberischen Halbinsel radikal verändert. Um den Wohlstand Portugals zu sichern sollten wir sicherstellen, das wir gute Beziehungen zu unserem großen Nachbarn haben.;;La formación de España ha cambiado de forma radical el equilibrio de poder en la Península Ibérica. Por el bien de Portugal, deberíamos asegurarnos de estar en buenas relaciones con nuestro gran vecino. ;;;;;;;;;x;
portugal_discovers_the_azores_title;Discover the Azores! ;Découvrez les Açores ! ;Entdeckt die Azoren!;;Descubrir las Azores ;;;;;;;;;x;
portugal_discovers_the_azores_desc;We have heard rumours of islands out in the West Atlantic that could serve as a base for future exploration opportunities. Let us send ships out to investigate this.   ;Nous avons eu vent d'îles situées en Atlantique Ouest et susceptible de faire office de base aux futures opportunités d'exploration. Envoyons-y des navires pour en savoir plus.   ;Wir haben Gerüchte von Inseln draußen im Westatlantik gehört, die als Basis für weitere Entdeckungen dienen könne. Lasst uns Schiffe ausschicken, um sie zu finden.;;Hemos oído hablar de unas islas en el Atlántico Occidental que podrían servir de base para futuras exploraciones. Déjenos enviar barcos a investigarlo. ;;;;;;;;;x;
portugal_discovers_madeira_title;Discover Madeira;Découvrir Madère;Entdeckt Madeira;;Descubrir Madeira;;;;;;;;;x;
portugal_discovers_madeira_desc;A shipwrecked sailor brought back news of an archipelago in the seas to the south of Portugal. Let us send ships south to investigate this. ;Un marin nauffragé a signalé un archipel situé au sud du Portugal. Envoyons-y des navires en direction du sud pour en savoir plus. ;Ein schiffbrüchiger Seemann hat Neuigkeiten von einem Archipel in der See südlich von Portugal gebracht. Lasst uns Schiffe aussenden, die das überprüfen.;;Un marinero superviviente de un naufragio ha traído noticias de un archipiélago en los mares al sur de Portugal. Déjenos enviar barcos al sur para investigarlo. ;;;;;;;;;x;
portugal_discovers_the_west_african_coast_title;We must venture further South ;Nous devons nous aventurer plus au sud. ;Wir müssen weiter nach Süden vorstoßen;;Tenemos que ir más al sur ;;;;;;;;;x;
portugal_discovers_the_west_african_coast_desc;Our explorers believe that Africa extends but a short way further south and soon we will be able to swing round and find the Kingdom of Prester John. Once we have secured an alliance with the Kingdom we will be able sweep the moors out of the holy land.  ;Nos explorateurs pensent que l'Afrique s'étend encore au sud et que nous devrions prochainement virer et trouver le royaume de Prester John. Après avoir scellé une alliance avec le royaume, nous pourrons chasser les Maures de la terre sainte. ;Unsere Entdecker glauben, das Afrika nur noch ein kleines Stück weiter nach Süden reicht, und das wir bald in der Lage sein werden, es zu umrunden und das Königreich von Prester John zu finden. Dann können wir uns mit dem Königreich verbünden und zusammen die Mauren aus dem heiligen Land vertreiben.;;Nuestros exploradores creen que África se extiende un poco más hacia el sur y pronto podremos bordearla y encontrar el reino del Preste Juan. Una vez que nos aseguremos una alianza con el reino, podremos expulsar a los moriscos de Tierra Santa. ;;;;;;;;;x;
