HRE_INFLUENCE_GAIN;Gained by:\n - Honouring the Calls of members\n - Winning defensive wars against foreign powers\n - Member states converting to the True Faith\n - Liberating member states\n - Forcing non-member to release a member vassal\n - Forcing non-member to remove a member from their Sphere\n - Provinces joining the Empire\n - Successive Emperors from the same country;S’obtient en :\n - Honorant les appels des membres\n – Remportant des guerres défensives contre des puissances étrangères\n - Convertissant des États membres à la vraie foi\n - Libérant des États membres\n - Contraignant un non-membre à libérer un membre vassal\n - Contraignant un non-membre à retirer un membre de sa sphère\n - Accueillant des provinces dans l’empire\n - Imposant des empereurs successifs issus du même pays;Steigt durch:\n - Den Hilfeansuchen von Mitgliedern folgen\n - Verteidigungskriege gegen Nationen außerhalb des Reiches gewinnen\n - Religiöse Einheit im Reich erzwingen\n - Mitgliedsstaaten befreien\n - Nicht-Mitglieder dazu zwingen, ein Reichsmitglied, das Vassall ist, zu befreien\n - Nicht-Mitglieder dazu zwingen, ein Mitglied aus ihrer Einflusssphäre zu entfernen\n - Provincen die dem Reich beitreten\n - Nachfolgende Kaiser aus dem gleichen Land;;Ganado por:\n - Escuchar el llamamiento de miembros\n - Ganar guerras defensivas contra potencias extranjeras\n - Convertir estados miembros a la fe verdadera\n - Liberar estados miembros\n - Obligar a no miembros a liberar a un vasallo miembro\n - Obligar a no miembros a sacar a un miembro de su zona de influencia\n - Añadir provincias al imperio\n - Emperadores sucesivos del mismo país;;;;;;;;;x
HRE_INFLUENCE_LOSS;Lost by:\n - Dishonouring the Calls of members\n - Provinces leaving the Empire\n - Member states converting to a false religion;Se perd en :\n - Déshonorant les appels des membres\n - Laissant des provinces quitter l’empire\n - Laissant des États membres se convertir à une fausse religion;Sinkt durch:\n - Die Hilfeansuchen von Mitgliedern verweigern\n - Provincen verlassen das Reich\n - Mitgliederstaaten konvertieren zu einer falschen Religion;;Perdido por:\n - Desoír el llamamiento de miembros\n - Provincias que abandonan el imperio\n - Estados miembros que se convierten a una falsa religión;;;;;;;;;x
PAPAL_INF_LESS_THAN;Papal Influence less than;Influence sur le pape inférieure à ;Papsteinfluss niedriger als;;Influencia papal menor de;;;;;;;;;x
PAPAL_INF_AT_LEAST;Papal Influence at least;Influence sur le pape d’au moins ;Papsteinfluss zumindest;;Influencia papal de al menos;;;;;;;;;x
ADD_PAPAL_INFLUENCE;Papal Influence;Influence sur le pape;Papsteinfluss;;Influencia papal;;;;;;;;;x
PAPACY_IS_ENABLED;The Papacy is active;La papauté est active;Das Papsttum ist aktiv;;El papado está activo;;;;;;;;;x
PAPACY_IS_DISABLED;The Papacy is NOT active;La papauté n’est PAS active;Das Papsttum ist NICHT aktiv;;El papado NO está activo;;;;;;;;;x
ENABLE_PAPACY;Enable the Papacy;Activer la papauté;Papsttum aktivieren;;Activa el papado;;;;;;;;;x
DISABLE_PAPACY;Disable the Papacy;Désactiver la papauté;Papsttum deaktivieren;;Desactiva el papado;;;;;;;;;x
gods_kingdom_title;Declare the Kingdom of God;Déclaration du Royaume de Dieu;Das Königreich Gottes ausrufen;;Declara el Reino de Dios;;;;;;;;;x
gods_kingdom_desc;With the whole of Italy united under the temporal power of the Holy Father, he may feel justified in declaring it the Kingdom of God on Earth.;Grâce à l’unification de toute l’Italie sous le pouvoir temporel du Saint-Père, celui-ci peut juger justifié de la déclarer "Royaume de Dieu sur la terre".;Mit ganz Italien unter der weltlichen Herrschaft des Papstes fühlt er sich nun dazu berechtigt, das Königreich Gottes auf Erden auszurufen.;;Con toda Italia unida bajo el poder temporal del Santo Padre, tal vez se sienta con razón para declararla el Reino de Dios en la Tierra.;;;;;;;;;x
kingdom_of_god;The Kingdom of God;Le Royaume de Dieu;Das Königreich Gottes;;El Reino de Dios;;;;;;;;;x
desc_kingdom_of_god;The Pope has declared the united Italy the Kingdom of God on Earth.;Le pape a déclaré l’Italie unie "Royaume de Dieu sur la terre".;Der Papst hat das vereinigte Italien zum Königreich Gottes auf Erden ausgerufen.;;El Papa ha declarado a Italia unida el Reino de Dios en la Tierra.;;;;;;;;;x
EVTNAME2021;The Kingdom of God on Earth;Le Royaume de Dieu sur la terre;Das Königreich Gottes auf Erden;;El Reino de Dios en la Tierra;;;;;;;;;x
EVTDESC2021;Having united the whole of Italy under the banner of Catholicism, the Pope has seen fit to declare it 'The Kingdom of God'. Catholics from all over Europe flock to his banner, eager to live in this model nation of Christian virtue. ;Après avoir unifié toute l’Italie sous la bannière du catholicisme, le pape a jugé bon de la déclarer "Royaume de Dieu". Les catholiques de toute l’Europe se rassemblent sous sa bannière, impatients d’embrasser ce modèle de vertu chrétienne.;"Mit ganz Italien unter katholischer Herrschaft hat der Papst entschieden, das ""Königreich Gottes"" auszurufen. Katholiken aus ganz Europa scharren sich um sein Banner und wollen in dieser Modellnationen für alle Christen leben.";;Habiendo unido toda Italia bajo la bandera del catolicismo, el Papa ha creído adecuado declararla 'El Reino de Dios'. Los católicos de toda Europa se reúnen bajo su bandera, ansiosos de vivir en esta nación, modelo de virtud cristiana.;;;;;;;;;x
EVTOPTA2021;Amen;Amen;Amen;;Amén;;;;;;;;;x
CULTURE_GROUP_UNION;§Y$NEW$§W cultures give no penalties.\n;Les §Y$NEW$§W cultures n’engendrent aucune pénalité.\n;§Y$NEW$§W Kulturen bewirken keine Abzüge.\n;;§Y$NEW$§W culturas no penalizan.\n;;;;;;;;;x
RESET_CULTURE_GROUP_UNION;§Y$OLD$§W cultures may now give penalties.\n;Les §Y$OLD$§W cultures peuvent désormais engendrer des pénalités.\n;§Y$OLD$§W Kulturen können und Abzüge geben.\n;;§Y$OLD$§W culturas pueden penalizar.\n;;;;;;;;;x
western;Western;occidental;westlich;;Oeste;;;;;;;;;x
basque_group;Basque;basque;Baskisch;baskijska;Vasco;Basca;Baszk;Baskický;;;;;;x
sub_saharan;Sub-Saharan;subsaharien;Subsaharian;;Subsahariano;;;;;;;;;x
SPAWN_EVENT;The event '§Y$WHICH$§W' happens.\n;L’événement "§Y$WHICH$§W" se produit.\n;Das Ereignis '§Y$WHICH$§W' tritt ein.\n;;El evento '§Y$WHICH$§W' tiene lugar.\n;;;;;;;;;x
CG_UNION_DESC;All §Y$GROUP$§W cultures view §Y$COUNTRY$§W as their own nation, thus giving no penalties.;Toutes les cultures §Y$GROUP$§W considèrent §Y$COUNTRY$§W comme leur propre nation, ce qui n’engendre aucune pénalité.;Alle §Y$GROUP$§W Kulturen sehen §Y$COUNTRY$§W als ihre eigene Nation an, dadurch geben sie keine Abzüge.;;Todas las culturas §Y$GROUP$§W ven a §Y$COUNTRY$§W como su propia nación, y no la penalizan.;;;;;;;;;x
INTERREGNUM;(Interregnum);(Interrègne);(Interregnum);;(Interregno);;;;;;;;;x
EMBARGOHAVETRUCE;We cannot embargo them while we still have a truce.;Nous ne pouvons pas leur imposer d’embargo tant que la trêve que nous avons conclue avec eux est en vigueur.;Wir können kein Embargo gegen sie einrichten während wir noch einen Waffenstillstand haben.;;No podemos embargarles mientras siga la tregua.;;;;;;;;;x
EVTNAME5060;Comet Sighted;Apparition d’une comète;Komet gesichtet;;Cometa avistado;;;;;;;;;x
EVTDESC5060;Peasants are always superstitious, and the appearance of a comet in the sky has caused panic among our people. They are convinced that this is a sign that the end of times is near or that something bad is going to happen in the near future.;Les paysans sont des gens superstitieux et l'apparition d'une comète dans le ciel a semé un vent de panique dans notre population. Ils sont convaincus que la fin des temps est proche ou qu'un malheur va bientôt s’abattre sur eux.;Bauern sind immer abergläubisch, und das Erscheinen eines Meteors am Himmel hat im Volke zu Panik geführt. Sie sind überzeugt, dass dies ein Zeichen für das nahende Weltende ist oder für ein großes Unglück in der nahen Zukunft.;Na niebie zauwa¿ono meteor. To wydarzenie wzbudzi³o panikê wœród przes¹dnego ch³opstwa. Ludnoœæ jest przekonana, ¿e nadszed³ kres naszych czasów i coœ z³ego zdarzy siê w niedalekiej przysz³oœci.;Los campesinos siempre son supersticiosos, y la aparición de un cometa en el cielo ha causado pánico entre nuestro pueblo. Están convencidos de que es una señal de que el fin de los tiempos se acerca o de que algo malo va a pasar próximamente.;I contadini sono sempre superstiziosi e la comparsa di un meteorite in cielo ha scatenato il panico nella popolazione. Sono tutti convinti che questo segno annunci l'approssimarsi della fine del mondo o di una grave sventura.;A parasztság nagyon babonás, és ha például egy meteort látnak az égen, az pánikot kelthet a körükben. Úgy vélik, hogy eljött a vég, vagy legalábbis valami nagyon rossz dolog fog történni a közeli jövõben.;Sedláci jsou vždy povìrèiví, a když se na obloze zjevil meteor, vyvolalo to paniku. Lidé jsou pøesvìdèeni, že jde o znamení konce svìta nebo nìjaké neblahé události v blízké budoucnosti.;;;;;;x
EVTOPTA5060;It's an omen;C'est un présage;Es ist ein Omen;To jest omen.;Es un augurio.;È un presagio;Ez bizony egy jel;Je to neblahé znamení;;;;;;x
EVTOPTB5060;The end is nigh!;La fin est proche !;Das Ende ist nah!;;¡El fin se acerca!;;;;;;;;;x
EVTOPTC5060;Ignore the peasant rabble;Ignorez ces paysans ignares.;Die Bauernlümmel ignorieren ;Ignoruj ch³opski mot³och.;No escuches a la chusma campesina;Ignora la plebaglia;Nem foglalkozunk a csõcselékkel;Ignorovat sedláky;;;;;;x
TREATIES_TO_ANNUL;$WHO$ will annul all treaties with $WHAT$. ;$WHO$ va annuler tous les traités conclus avec $WHAT$. ;$WHO$ wird alle Verträge mit $WHAT$ aufkündigen. ;;$WHO$ anulará todos los tratados con $WHAT$. ;;;;;;;;;x
CB_ALLOWED_ANNUL;Annulment of Treaties;Annulation des traités;Ankündigung von Verträgen;;Anulación de tratados;;;;;;;;;x
PEACE_ANNUL;Annul Treaties;Annuler les traités;Verträge aufkündigen;;Anular tratados;;;;;;;;;x
TRUCEWITHMASTERDESC;We cannot sign any treaties with them while we have a truce with ;Nous ne pouvons pas conclure de traités avec eux tant que nous avons une trêve en vigueur avec ;Wir können keine Verträge abschließen, solange wir einen Waffenstillstand mit ihnen haben.;;No podemos firmar tratados con ellos mientras tengamos una tregua con;;;;;;;;;x
CURIACONTROLPAP;The Pope answers only to God.;Le pape ne répond qu’à Dieu.;Der Papst antwortet nur Gott.;;El Papa solo responde ante Dios.;;;;;;;;;x
CURIACONTROLTAG;A black day for the Church.;Un triste jour pour l’Église.;Ein schwarzer Tag für die Kirche.;;Un día negro para la Iglesia.;;;;;;;;;x
CURIACONTROLLEROTHER_SETUP;When another nation becomes the new Papal Controller;Lorsqu’une autre nation devient contrôleur pontifical;Wenn ein anderes Land neuer Kontrolleur der Kirche wird;Kiedy jeden z krajów zdobywa kontrolê nad papiestwem;Cuando otra nación se convierte en el nuevo controlador papal;Quando una nazione diventa il nuovo controllore papale;Mikor egy másik nemzet lesz az új pápai irányító;Když jiný národ ovládne papeže;;;;;;x
CURIACONTROLLEROTHER_HEADER;News from the Holy See;Nouvelles du Saint-Siège;Neuigkeiten vom Heiligen Stuhl;;Noticias de la Santa Sede;;;;;;;;;x
CURIACONTROLLEROTHER_1;Power Play in the Curia;Jeux de pouvoir à la Curie;Machtspiele in der Kurie;;Juego de poder en la Curia;;;;;;;;;x
CURIACONTROLLEROTHER_2;$PLAYERTITLE$, §Y$CONTROLLER$§W commands the loyalty of enough Cardinals to become;$PLAYERTITLE$, §Y$CONTROLLER$§W exige la loyauté d’un nombre suffisant de cardinaux pour devenir;$PLAYERTITLE$, §Y$CONTROLLER$§W kommandiert die Loyalität von genügend Kardinälen und wird;;$PLAYERTITLE$, §Y$CONTROLLER$§W cuenta con la lealtad de bastantes cardenales para convertirse;;;;;;;;;x
CURIACONTROLLEROTHER_3;PAPAL CONTROLLER;CONTRÔLEUR PONTIFICAL;KONTROLLEUR DER KIRCHE;PAPIESTWO.;CONTROLADOR PAPAL;CONTROLLORE PAPALE.;PÁPAI IRÁNYÍTÓ;OVLÁDÁ PAPEŽE;;;;;;x
CURIACONTROLLEROTHER_4;$COMMENT$;$COMMENT$;$COMMENT$;;$COMMENT$;;;;;;;;;x
CURIACONTROLLEROTHER_5;*;*;*;*;*;*;*;;;;;;;x
CURIACONTROLLEROTHER_6;*;*;*;*;*;*;*;;;;;;;x
CURIACONTROLLEROTHER_LOG;$CONTROLLER$ is the new Papal Controller.;$CONTROLLER$ : ce pays est le nouveau contrôleur pontifical;$CONTROLLER$ ist nun neuer Kontrolleur der Kirche.;$CONTROLLER$ sprawuje kontrolê nad papiestwem.;$CONTROLLER$ es el nuevo controlador papal;$CONTROLLER$ è il nuovo controllore papale.;$CONTROLLER$ az új pápai irányító.;$CONTROLLER$ ovládá papeže.;;;;;;x
CURIACONTROLLEROTHER_BTN1;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
CURIACONTROLLEROTHER_BTN2;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
CURIACONTROLLEROTHER_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Ugrás;Pøejít na;;;;;;x
CURIACONTROLLEROTHER_MAP;*;*;*;*;*;*;*;;;;;;;x
EXCOM_TARGET_HIGH_REL;They have too good relations with the Papal State.;Ils entretiennent de trop bonnes relations avec les États pontificaux.;Sie haben zu gute Beziehungen mit dem Kirchenstaat.;;Tienen relaciones demasiado buenas con el estado papal.;;;;;;;;;x
EXCOM_TARGET_HIGH_INF;They have too much influence with the Holy Father.;Ils ont trop d’influence sur le Saint-Père.;Sie haben zu viel Einfluss mit dem heiligen Vater.;;Tienen demasiada influencia sobre el Santo Padre.;;;;;;;;;x
non_accepted_culture_republic;Republican Cultural Sufferance;Tolérance culturelle républicaine;Republikanische Kulturelle Duldung;;Tolerancia cultural republicana;;;;;;;;;x
CD_TRADE_LEAGUE;Member of the $LEAGUE$ Trade League.;Membre de la ligue commerciale $LEAGUE$.;Mitglied der $LEAGUE$ Handelsliga.;;Miembro de la liga comercial $LEAGUE$.;;;;;;;;;x
TRADELEAGUETITLE;Invite to Trade League;Inviter à rejoindre la ligue commerciale;In Handelsliga einladen;;Invitar a liga comercial;;;;;;;;;x
TRADELEAGUE2TITLE;Join Trade League;Rejoindre la ligue commerciale;Handelsliga beitreten;;Unirse a liga comercial;;;;;;;;;x
CANCELTRADELEAGUETITLE;Revoke League Membership;Annuler l’adhésion à la ligue ;Liga-Mitgliedschaft widerrufen;;Revocar membresía a liga;;;;;;;;;x
CANCELTRADELEAGUE2TITLE;Leave Trade League;Quitter la ligue commerciale;Handelsliga verlassen;;Abandonar liga comercial;;;;;;;;;x
TRADELEAGUENEWDESC;Do you wish to offer $COUNTRY$ to join our Trade League? League Members avoid competing with each other, and their provinces tend to trade through League CoTs.;Voulez-vous proposer à $COUNTRY$ de rejoindre notre ligue commerciale ? Les membres de la ligue évitent de se faire concurrence et leurs provinces commercent de préférence dans les centres de commerce de la ligue.;Wollt ihr $COUNTRY$ in unsere Handelsliga einladen? Ligamitglieder vermeiden es, miteinander zukonkurrieren und ihre Provinzen handeln meist durch Handelszentren der Liga.;;¿Deseas invitar a $COUNTRY$ a unirse a nuestra liga comercial? Los miembros de la liga evitan competir entre sí, y sus provincias tienden a comerciar a través de centros comerciales de la liga.;;;;;;;;;x
TRADELEAGUE2NEWDESC;Do you wish to ask $COUNTRY$ for admittance to their Trade League? League Members avoid competing with each other, and their provinces tend to trade through League CoTs.;Voulez-vous demander à $COUNTRY$ la permission de rejoindre sa ligue commerciale ? Les membres de la ligue évitent de se faire concurrence et leurs provinces commercent de préférence dans les centres de commerce de la ligue.;Wollt ihr $COUNTRY$ um Aufnahme in ihre Handelsliga bitten? Ligamitglieder vermeiden es, miteinander zukonkurrieren und ihre Provinzen handeln meist durch Handelszentren der Liga.;;¿Deseas pedir a $COUNTRY$ que te admita en su liga comercial? Los miembros de la liga evitan competir entre sí, y sus provincias tienden a comerciar a través de centros comerciales de la liga.;;;;;;;;;x
CANCELTRADELEAGUENEWDESC;Do you wish to revoke the League membership of $COUNTRY$? This will upset them.;Voulez-vous annuler votre adhésion à la ligue de $COUNTRY$ ? Cela risque de leur déplaire.;Wollt ihr die Ligamitgliedschaft von $COUNTRY$ widerrufen? Dies wird sie verärgern.;;¿Deseas revocar la membresía de la liga de $COUNTRY$? Les molestará.;;;;;;;;;x
CANCELTRADELEAGUE2NEWDESC;Do you wish to leave the $COUNTRYADJ$ Trade League? This will upset them.;Voulez-vous quitter la ligue commerciale $COUNTRYADJ$ ? Cela risque de leur déplaire.;Wollte ihr die Handelsliga von $COUNTRYADJ$ verlassen? Dies wird sie verärgern.;;¿Deseas abandonar la liga comercial de $COUNTRYADJ$? Les molestará.;;;;;;;;;x
TRADELEAGUEDESC;The merchants of a Trade League avoid competing with each other, and provinces within the League tend to trade through League CoTs.;Les marchands d’une ligue commerciale évitent de se faire concurrence et les provinces commercent de préférence dans les centres de commerce de la ligue.;Ligamitglieder vermeiden es, miteinander zukonkurrieren und ihre Provinzen handeln meist durch Handelszentren der Liga.;;Los mercaderes de una liga comercial evitan competir entre sí, y las provincias dentro de la liga tienden a comerciar a través de los centros comerciales de la liga.;;;;;;;;;x
CANCELTRADELEAGUEDESC;Revoke their League Membership. This will upset them.;Annulez votre adhésion à leur ligue. Cela risque de leur déplaire.;Kündigt ihre Liga-Mitgliedschaft auf. Das wird sie verärgern.;;Revoca su membresía de la liga. Les molestará.;;;;;;;;;x
CANCELTRADELEAGUE2DESC;Leave their Trade League. This will upset them.;Quittez leur ligue commerciale. Cela risque de leur déplaire.;Verlasst ihre Handelsliga. Das wird sie verärgern.;;Abandona su liga comercial. Les molestará.;;;;;;;;;x
TRADELEAGUEREQDESC;$COUNTRY$ is inviting us to their Trade League. League Members avoid competing with each other, and their provinces tend to trade through League CoTs.;$COUNTRY$ nous invite à rejoindre sa ligue commerciale. Les membres de la ligue évitent de se faire concurrence et leurs provinces commercent de préférence dans les centres de commerce de la ligue.;$COUNTRY$ lädt uns in ihre Handelsliga ein. Ligamitglieder vermeiden es, miteinander zukonkurrieren und ihre Provinzen handeln meist durch Handelszentren der Liga.;;$COUNTRY$ nos invita a unirnos a su liga comercial. Los miembros de la liga evitan competir entre sí, y sus provincias tienden a comerciar a través de los centros de comercio de la liga.;;;;;;;;;x
TRADELEAGUE2REQDESC;$COUNTRY$ is asking to join our Trade League. League Members avoid competing with each other, and their provinces tend to trade through League CoTs.;$COUNTRY$ demande à rejoindre notre ligue commerciale. Les membres de la ligue évitent de se faire concurrence et leurs provinces commercent de préférence dans les centres de commerce de la ligue.;$COUNTRY$ fragt an, ob wir ihrer Handelsliga beitreten wollen. Ligamitglieder vermeiden es, miteinander zukonkurrieren und ihre Provinzen handeln meist durch Handelszentren der Liga.;;$COUNTRY$ pide que nos unamos a su liga comercial. Los miembros de la liga evitan competir entre sí, y sus provincias tienden a comerciar a través de los centros de comercio de la liga.;;;;;;;;;x
BOTHINLEAGUE;We are both already in Trade Leagues;Nous appartenons déjà tous les deux à des ligues commerciales;Wir sind beide schon in Handelsligen;;Ya estamos ambos en ligas comerciales;;;;;;;;;x
ACTRALEWITHUS_SETUP;When another nation signs a Trade League Compact with us;Lorsqu’une autre nation conclut un accord commercial avec nous;Wenn eine andere Nation ein Handelsligaabkommen mit uns abschließt.;;Cuando otra nación firma un tratado de liga comercial con nosotros;;;;;;;;;x
ACTRALEWITHUS_HEADER;Herald from;Message de l'ambassadeur :;Herold aus;Wys³annik pañstwa:;Heraldo de;Messaggero da;Hírnök érkezett;Herold od;;;;;;x
ACTRALEWITHUS_1;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;$RECIPIENT$;;;;;;;;;x
ACTRALEWITHUS_2;$MONARCHTITLE$,;$MONARCHTITLE$,;$MONARCHTITLE$,;;$MONARCHTITLE$,;;;;;;;;;x
ACTRALEWITHUS_3;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x
ACTRALEWITHUS_4;signed our proposed;a signé;hat unser angebotenes;;ha firmado nuestra propuesta;;;;;;;;;x
ACTRALEWITHUS_5;§YTrade League Compact§W;§Yl’accord commercial§W que nous lui avons proposé;§YHandelsligaabkommen§W;;§Ytratado de liga comercial§W;;;;;;;;;x
ACTRALEWITHUS_6;League merchants avoid competing with each other, and member provinces tend to trade through League CoTs.;Les marchands de la ligue évitent de se faire concurrence et leurs provinces membres commercent de préférence dans les centres de commerce de la ligue.;Liga-Händler vermeiden es, zu konkurrieren und Mitgliederprovinzen tendieren dazu, durch Liga-Handelszentren zu handeln.;;Los mercaderes de la liga evitan competir entre sí, y las provincias miembro tienden a comerciar a través de los centros de comercio de la liga.;;;;;;;;;x
ACTRALEWITHUS_LOG;$RECIPIENT$ signed a Trade League Compact with us.;$RECIPIENT$ a conclu un accord commercial avec nous.;$RECIPIENT$ hat mit uns ein Handelsligaabkommen abgeschlossen.;;$RECIPIENT$ ha firmado un tratado de liga comercial con nosotros.;;;;;;;;;x
ACTRALEWITHUS_BTN1;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
ACTRALEWITHUS_BTN2;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
ACTRALEWITHUS_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Menj ide:;Pøejít na;;;;;;x
ACTRALEWITHUS_MAP;*;*;*;*;*;*;*;;;;;;;x
WETRADELE_SETUP;When we sign a Trade League Compact with another nation;Lorsque nous concluons un accord commercial avec une autre nation;Wenn wir ein Handelsligaabkommen mit einer anderen Nation abschließen;;Cuando firmamos un tratado de liga comercial con otra nación;;;;;;;;;x
WETRADELE_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;x
WETRADELE_1;The $LEAGUEADJ$ League;La ligue $LEAGUEADJ$;Die $LEAGUEADJ$ Liga;;La liga $LEAGUEADJ$;;;;;;;;;x
WETRADELE_2;$MONARCHTITLE$, after due consideration we have signed a;$MONARCHTITLE$, après mûre réflexion, nous avons conclu un;$MONARCHTITLE$, nach langer Überlegung haben wir nun ein;;$MONARCHTITLE$, tras considerarlo detenidamente, hemos firmado un;;;;;;;;;x
WETRADELE_3;§YTrade League Compact§W;§Yaccord commercial§W;§YHandelsligaabkommen§W;;§Ytratado de liga comercial§W;;;;;;;;;x
WETRADELE_4;with;avec;mit;;CONTROLADOR PAPAL;;;;;;;;;x
WETRADELE_5;$ACTOR$;$ACTOR$;$ACTOR$;;$ACTOR$;;;;;;;;;x
WETRADELE_6;League merchants avoid competing with each other, and member provinces tend to trade through League CoTs.;Les marchands de la ligue évitent de se faire concurrence et les provinces membres commercent de préférence dans les centres de commerce de la ligue.;Ligahändler vermeiden es, miteinander zukonkurrieren und ihre Provinzen handeln meist durch Handelszentren der Liga.;;Los mercaderes de la liga evitan competir entre sí, y las provincias miembro tienden a comerciar a través de los centros de comercio de la liga.;;;;;;;;;x
WETRADELE_LOG;We signed a Trade League Compact with $ACTOR$.;Nous avons conclu un accord commercial avec $ACTOR$.;Wir schlossen ein Handelsligaabkommen mit $ACTOR$.;;Hemos firmado un tratado de liga comercial con $ACTOR$.;;;;;;;;;x
WETRADELE_BTN1;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
WETRADELE_BTN2;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
WETRADELE_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Ugrás;Pøejít na;;;;;;x
WETRADELE_MAP;*;*;*;*;*;*;*;;;;;;;x
OTHERTRADELE_SETUP;When two foreign nations sign a Trade League Compact;Lorsque deux nations étrangères concluent un accord commercial;Wenn zwei andere Nationen ein Handelsligaabkommen schließen;;Cuando dos naciones extranjeras firman un tratado de liga comercial;;;;;;;;;x
OTHERTRADELE_HEADER;Herald from;Message de l'ambassadeur :;Herold aus;Wys³annik pañstwa:;Heraldo de;Messaggero da;Hírnök érkezett;Herold od;;;;;;x
OTHERTRADELE_1;The $LEAGUEADJ$ League;La ligue $LEAGUEADJ$;Die $LEAGUEADJ$ Liga;;La liga $LEAGUEADJ$;;;;;;;;;x
OTHERTRADELE_2;$MONARCHTITLE$, we have been informed that;$MONARCHTITLE$, on nous informe que;$MONARCHTITLE$;Zostaliœmy poinformowani, ¿e;$MONARCHTITLE$, nos han informado de que;$MONARCHTITLE$, abbiamo saputo che;Arról értesültünk, hogy ;$MONARCHTITLE$, byli jsme informováni, že;;;;;;x
OTHERTRADELE_3;$ACTOR$ and $RECIPIENT$;$ACTOR$ et $RECIPIENT$;$ACTOR$ und $RECIPIENT$;;$ACTOR$ y $RECIPIENT$;;;;;;;;;x
OTHERTRADELE_4;have signed a;ont conclu un;schlossen ein;;han firmado un;;;;;;;;;x
OTHERTRADELE_5;§YTrade League Compact§W;§Yaccord commercial§W;§YHandelsligaabkommen§W;;§Ytratado de liga comercial§W;;;;;;;;;x
OTHERTRADELE_6;*;*;*;*;*;*;*;;;;;;;x
OTHERTRADELE_LOG;$RECIPIENT$ signed a Trade League Compact with $ACTOR$.;$RECIPIENT$ a conclu un accord commercial avec $ACTOR$.;$RECIPIENT$ schloss ein Handelsligaabkommen mit $ACTOR$.;;$RECIPIENT$ ha firmado un tratado de liga comercial con $ACTOR$.;;;;;;;;;x
OTHERTRADELE_BTN1;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
OTHERTRADELE_BTN2;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
OTHERTRADELE_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Ugrás;Pøejít na;;;;;;x
OTHERTRADELE_MAP;*;*;*;*;*;*;*;;;;;;;x
DETRALEWITHUS_SETUP;When another nation declines to sign our Trade League Compact;Lorsqu’une autre nation refuse de conclure un accord commercial avec nous;Wenn eine andere Nation unser Handelsligaabkommen ablehnt;;Cuando otra nación rehúsa firmar nuestro tratado de liga comercial;;;;;;;;;x
DETRALEWITHUS_HEADER;Herald from;Message de l'ambassadeur :;Herold aus;Wys³annik pañstwa:;Heraldo de;Messaggero da;Hírnök innen:;Herold od;;;;;;x
DETRALEWITHUS_1;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;$RECIPIENT$;;;;;;;;;x
DETRALEWITHUS_2;$MONARCHTITLE$, $RECIPIENT$ declined to sign our;$MONARCHTITLE$, $RECIPIENT$ a refusé de signer notre;$MONARCHTITLE$, $RECIPIENT$ reagierte ablehnend auf unser;;$MONARCHTITLE$, $RECIPIENT$ ha rehusado firmar nuestro;;;;;;;;;x
DETRALEWITHUS_3;§YTrade League Compact§W;§Yaccord commercial§W;§YHandelsligaabkommen§W;;§Ytratado de liga comercial§W;;;;;;;;;x
DETRALEWITHUS_4;Ah well. Their loss.;Tant pis pour eux !;Naja. Ihr Verlust.;;Bueno, ellos se lo pierden.;;;;;;;;;x
DETRALEWITHUS_5;*;*;*;*;*;*;*;;;;;;;x
DETRALEWITHUS_6;*;*;*;*;*;*;*;;;;;;;x
DETRALEWITHUS_LOG;$RECIPIENT$ declined to sign our Trade League Compact.;$RECIPIENT$ a refusé de signer notre accord commercial.;$RECIPIENT$ lehnte unser Handelsligaabkommen ab.;;$RECIPIENT$ ha rehusado firmar nuestro tratado de liga comercial.;;;;;;;;;x
DETRALEWITHUS_BTN1;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
DETRALEWITHUS_BTN2;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
DETRALEWITHUS_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Ugrás;Pøejít na;;;;;;x
DETRALEWITHUS_MAP;*;*;*;*;*;*;*;;;;;;;x
